A001, Assignment 1, 50, Quiz 1, 85
A002, Assignment 1, 82, Quiz 1, 87
A003, Assignment 1, 72, Quiz 1, 70
A004, Assignment 1, 76, Quiz 1, 78
A005, Assignment 1, 81, Quiz 1, 79
A006, Assignment 1, 13, Quiz 1, 98
A007, Assignment 1, 57, Quiz 1, 60
A008, Assignment 1, 66, Quiz 1, 70
A009, Assignment 1, 76, Quiz 1, 45
A0010, Assignment 1, 67, Quiz 1, 89
A0011, Assignment 1, 73, Quiz 1, 87
A0012, Assignment 1, 14, Quiz 1, 40
A0013, Assignment 1, 76, Quiz 1, 73
A0014, Assignment 1, 86, Quiz 1, 78
A0015, Assignment 1, 55, Quiz 1, 76
A0016, Assignment 1, 98, Quiz 1, 89
A0017, Assignment 1, 77, Quiz 1, 45
A0018, Assignment 1, 87, Quiz 1, 54
A0019, Assignment 1, 67, Quiz 1, 88
A0020, Assignment 1, 88, Quiz 1, 55
A0021, Assignment 1, 66, Quiz 1, 56
A0022, Assignment 1, 90, Quiz 1, 88
A0023, Assignment 1, 67, Quiz 1, 45
A0024, Assignment 1, 98, Quiz 1, 66
